,Time Step,Episode,Step in Episode,Gen Loss
621,311000,2730,136,39.33893928527832
622,311500,2733,185,39.58897819519043
623,312000,2739,80,39.461005147298174
624,312500,2741,189,39.41200434366862
625,313000,2745,9,39.39137471516927
626,313500,2749,134,39.31113446553548
627,314000,2753,149,39.41833012898763
628,314500,2757,154,39.48186403910319
629,315000,2761,178,39.429574457804364
630,315500,2766,140,39.40374870300293
631,316000,2771,180,39.480581283569336
632,316500,2776,21,39.39006423950195
633,317000,2779,113,39.264522552490234
634,317500,2783,33,39.41700770060221
635,318000,2787,9,39.455800755818686
636,318500,2790,125,39.269508361816406
637,319000,2793,79,39.24179242451986
638,319500,2798,80,39.381646728515626
639,320000,2802,198,39.214398574829104
640,320500,2807,89,39.53150151570638
641,321000,2811,117,39.39459546407064
642,321500,2814,70,39.38723742167155
643,322000,2818,20,39.25473035176595
644,322500,2823,115,39.33852221171061
645,323000,2827,118,39.21243095397949
646,323500,2830,159,39.32977129618327
647,324000,2835,100,39.36093889872233
648,324500,2842,17,39.334788131713864
649,325000,2845,16,39.30108528137207
650,325500,2850,56,39.26077003479004
651,326000,2854,133,39.30363934834798
652,326500,2857,33,39.22700030008952
653,327000,2861,43,38.9804490407308
654,327500,2863,165,39.35338020324707
655,328000,2869,140,39.30033950805664
656,328500,2874,39,39.35848871866862
657,329000,2879,6,39.474813842773436
658,329500,2883,67,39.340363311767575
659,330000,2887,44,39.28089447021485
660,330500,2890,49,39.257833099365236
661,331000,2894,53,39.410871505737305
662,331500,2897,139,39.25373051961263
663,332000,2905,31,39.111077372233076
664,332500,2908,173,39.301182428995766
665,333000,2916,66,39.40389264424642
666,333500,2922,117,39.28652547200521
667,334000,2926,122,39.262407811482746
668,334500,2929,60,39.30039024353027
669,335000,2932,162,39.48401374816895
670,335500,2937,12,39.52097981770833
671,336000,2941,14,39.38139050801595
672,336500,2945,93,39.1864985148112
673,337000,2948,193,39.30495732625325
674,337500,2954,1,39.36377232869466
675,338000,2957,96,39.011601257324216
676,338500,2961,55,39.363821283976236
677,339000,2966,25,39.57121175130208
678,339500,2970,102,39.41921590169271
679,340000,2973,72,39.294023259480795
680,340500,2980,21,39.38296788533528
681,341000,2984,26,39.44211616516113
682,341500,2987,43,39.521798324584964
683,342000,2991,103,39.26105181376139
684,342500,2997,13,39.21055920918783
685,343000,3000,123,39.26767489115397
686,343500,3004,53,39.359730911254886
687,344000,3008,41,39.31170336405436
688,344500,3012,78,39.34361623128255
689,345000,3018,19,39.29410031636556
690,345500,3021,98,39.29491055806478
691,346000,3026,9,39.427336883544925
692,346500,3029,51,39.32976328531901
693,347000,3032,76,39.29236183166504
694,347500,3036,16,39.147126007080075
695,348000,3042,45,39.47233695983887
696,348500,3048,157,39.40700365702311
697,349000,3052,123,39.26808446248372
698,349500,3057,27,39.400664774576825
699,350000,3060,27,39.184096272786455
700,350500,3064,29,39.174041748046875
701,351000,3067,112,39.18472722371419
702,351500,3072,63,39.30995330810547
703,352000,3076,61,39.19445317586263
704,352500,3080,145,39.456891250610354
705,353000,3084,142,60.63019358317057
706,353500,3087,58,39.30747947692871
707,354000,3089,158,39.21666069030762
708,354500,3094,164,39.178934478759764
709,355000,3099,24,39.13071708679199
710,355500,3103,123,39.16609052022298
711,356000,3109,62,39.47457707722982
712,356500,3112,131,38.98483009338379
713,357000,3116,126,38.99562199910482
714,357500,3120,3,39.0778258005778
715,358000,3123,87,39.27130940755208
716,358500,3127,43,39.255795033772785
717,359000,3131,21,39.33228073120117
718,359500,3135,102,38.87959378560384
719,360000,3138,54,39.27821210225423
720,360500,3143,60,38.89241371154785
721,361000,3145,164,39.09864412943522
722,361500,3148,127,39.102918243408205
723,362000,3151,30,39.17581634521484
724,362500,3154,53,39.11602223714193
725,363000,3156,153,39.26202112833659
726,363500,3160,20,39.1667839050293
727,364000,3164,72,39.13263791402181
728,364500,3168,8,38.95411148071289
729,365000,3171,54,38.908900833129884
730,365500,3175,13,38.99687487284343
731,366000,3178,96,38.81652628580729
732,366500,3182,49,39.05459861755371
733,367000,3185,138,38.938049697875975
734,367500,3189,20,38.830657704671225
735,368000,3192,113,38.92442118326823
736,368500,3195,171,38.999006779988605
737,369000,3199,31,38.93535817464193
738,369500,3201,178,38.777974955240886
739,370000,3206,23,39.09402402242025
740,370500,3208,123,39.07519645690918
741,371000,3211,71,38.81449432373047
742,371500,3214,49,38.7374755859375
743,372000,3219,178,38.720329411824544
744,372500,3223,55,38.88933181762695
745,373000,3228,15,38.8481995900472
746,373500,3233,97,38.75342013041178
747,374000,3239,38,38.81918589274088
748,374500,3242,27,38.955420939127606
749,375000,3245,170,38.881535085042316
750,375500,3248,108,38.916219584147136
751,376000,3253,17,39.000021870930986
752,376500,3258,56,38.869790140787764
753,377000,3261,7,38.73239835103353
754,377500,3263,177,38.85428530375163
755,378000,3268,77,38.53387133280436
756,378500,3272,111,38.98763631184896
757,379000,3276,116,38.63264389038086
758,379500,3279,154,38.60138511657715
759,380000,3283,19,38.853145345052084
760,380500,3286,119,38.569942220052084
761,381000,3290,13,38.81843795776367
762,381500,3294,82,38.8269770304362
763,382000,3298,25,38.775404866536455
764,382500,3302,134,38.578521728515625
765,383000,3305,77,38.58950589497884
766,383500,3309,101,38.72757237752278
767,384000,3312,107,38.61443926493327
768,384500,3315,38,38.86222902933756
769,385000,3317,138,38.642168045043945
770,385500,3320,166,38.507861328125
771,386000,3326,73,38.567024103800456
772,386500,3328,173,38.63010495503743
773,387000,3332,35,38.409785970052084
774,387500,3336,53,38.55234959920247
775,388000,3339,2,38.62030309041341
776,388500,3344,47,38.73487637837728
777,389000,3350,173,38.712947082519534
778,389500,3355,140,38.818119049072266
779,390000,3359,20,38.7290599822998
780,390500,3363,168,38.83063227335612
781,391000,3367,122,38.56492703755696
