,Time Step,Episode,Step in Episode,Shield Loss
433,86800,983,110,-30.135569127400718
434,87000,985,79,-17.523591613769533
435,87200,987,37,-11.396428362528484
436,87400,988,87,-12.517872460683186
437,87600,990,15,-7.84951475461324
438,87800,992,154,-14.597368526458741
439,88000,996,3,-19.817981020609537
440,88200,997,3,-23.261145973205565
441,88400,999,76,-18.303796132405598
442,88600,1000,76,-17.3215984026591
443,88800,1002,25,-16.599429988861083
444,89000,1003,25,-11.959732500712077
445,89200,1004,159,-13.644468021392822
446,89400,1005,159,-6.9476998488108315
447,89600,1006,159,-8.190897750854493
448,89800,1007,159,-13.659257984161377
449,90000,1009,44,-9.959068298339844
450,90200,1010,44,-10.322051064173381
451,90400,1011,118,-16.851810201009116
452,90600,1013,76,-15.297820218404134
453,90800,1014,76,-16.775327841440838
454,91000,1017,2,-15.793024031321208
455,91200,1018,27,-21.628773816426595
456,91400,1019,27,-23.17888634999593
457,91600,1020,27,-20.87714564005534
458,91800,1021,31,-23.711021105448406
459,92000,1022,31,-27.53111197153727
460,92200,1023,108,-10.853568204243977
461,92400,1025,123,-24.313744481404623
462,92600,1026,123,-27.192884953816733
463,92800,1029,48,-25.957848739624023
464,93000,1031,8,-28.70837821960449
465,93200,1032,37,-33.62866528828939
466,93400,1034,29,-33.47807064056396
467,93600,1036,15,-32.68424008687337
468,93800,1038,51,-31.23407179514567
469,94000,1039,51,-28.838293838500977
470,94200,1040,51,-16.670209439595542
471,94400,1041,51,-10.269719759623209
472,94600,1043,58,-21.548217964172363
473,94800,1044,58,-23.653605143229168
474,95000,1045,110,-25.56007849375407
475,95200,1046,110,-27.498955154418944
476,95400,1047,110,-26.582999610900877
477,95600,1050,17,-19.076077779134113
478,95800,1051,165,-17.53930886586507
479,96000,1054,39,-3.9686320304870604
480,96200,1056,96,-15.279234886169434
481,96400,1057,194,-21.106233263015746
482,96600,1061,45,-17.371441141764322
483,96800,1063,25,-21.79104118347168
484,97000,1064,25,-27.76708552042643
485,97200,1065,27,-21.990710576375324
486,97400,1067,17,-30.90904006958008
487,97600,1068,17,-30.145213572184243
488,97800,1069,84,-40.58498713175456
489,98000,1071,30,-35.54110870361328
490,98200,1072,30,-34.24550183614095
491,98400,1073,30,-19.579166062672932
492,98600,1076,65,-18.029551029205322
493,98800,1077,65,-12.600837675730387
494,99000,1078,65,-12.70777416229248
495,99200,1079,112,-11.207328033447265
496,99400,1080,112,-12.390725326538085
497,99600,1081,112,-2.579182517528534
498,99800,1082,140,-5.213076829910278
499,100000,1085,24,-10.532735570271809
500,100200,1086,24,-15.199738788604737
501,100400,1087,114,-26.164446131388345
502,100600,1088,114,-32.073856290181475
503,100800,1089,114,-24.24791717529297
504,101000,1090,139,-23.4888578414917
505,101200,1093,22,-27.482991027832032
506,101400,1096,29,-19.66377010345459
507,101600,1097,29,-11.612493991851807
508,101800,1098,29,-16.52453769048055
509,102000,1099,31,-13.707986291249593
510,102200,1100,36,-15.51237087249756
511,102400,1101,36,-7.472720623016357
512,102600,1102,36,-11.254041449228923
513,102800,1104,105,-15.290137354532877
514,103000,1106,33,-17.46724052429199
515,103200,1108,20,-16.33531119028727
516,103400,1109,146,-17.07311331431071
517,103600,1111,96,-12.235096168518066
518,103800,1112,96,-5.501529026031494
519,104000,1113,129,-8.493632141749064
520,104200,1115,41,-18.976837825775146
521,104400,1116,41,-21.764290555318198
522,104600,1118,67,-11.585031986236572
523,104800,1119,67,-12.20361385345459
524,105000,1120,67,-10.974776395161946
525,105200,1121,119,-9.681374231974283
526,105400,1122,148,-10.691246128082275
527,105600,1123,148,-6.812771002451579
528,105800,1124,148,-7.046805540720622
529,106000,1125,148,-7.810442018508911
530,106200,1127,125,-13.034810892740886
531,106400,1128,125,-22.776136716206867
532,106600,1130,128,-19.140186309814453
533,106800,1131,128,-20.270818010965982
534,107000,1132,128,-21.717505772908527
535,107200,1135,60,-17.456195131937662
536,107400,1136,60,-14.268825976053874
537,107600,1138,31,-17.82799638112386
538,107800,1139,31,-21.731609344482422
539,108000,1140,31,-23.58977845509847
540,108200,1141,132,-16.703895632425944
541,108400,1142,199,-28.144913991292317
542,108600,1144,172,-25.201325988769533
543,108800,1146,46,-27.295226287841796
544,109000,1147,46,-27.491160329182943
545,109200,1148,46,-33.93552169799805
546,109400,1150,9,-28.282241948445638
547,109600,1151,9,-28.248634656270344
548,109800,1153,66,-19.76441911061605
549,110000,1155,42,-28.127081871032715
550,110200,1156,42,-26.98328908284505
551,110400,1157,42,-32.54917449951172
552,110600,1159,154,-4.0719232857227325
553,110800,1160,154,4.993322092294693
554,111000,1164,36,-0.9157246470451355
555,111200,1165,36,-7.28610277970632
556,111400,1166,36,-8.390178330739339
557,111600,1169,4,-8.961459477742514
558,111800,1171,116,-12.041835689544678
559,112000,1173,23,-14.684642759958903
560,112200,1175,84,-17.016702556610106
561,112400,1176,84,-20.812673377990723
562,112600,1177,89,-23.81192620595296
563,112800,1178,89,-32.360914929707846
564,113000,1179,89,-34.403584798177086
565,113200,1181,26,-20.008955637613933
566,113400,1182,164,-20.667646344502767
567,113600,1183,196,-14.102903207143148
568,113800,1184,196,-16.81831423441569
569,114000,1186,91,-24.111481157938638
570,114200,1187,91,-14.646350860595703
571,114400,1188,91,-8.142112121979396
572,114600,1189,91,-7.5221202850341795
573,114800,1190,91,-6.37585236231486
574,115000,1193,27,-3.9747490882873535
575,115200,1195,36,-6.0260748863220215
576,115400,1196,36,-6.0242462158203125
577,115600,1197,36,-6.011836528778076
578,115800,1199,21,-10.740386009216309
579,116000,1200,22,-10.765953063964844
580,116200,1202,17,-10.554573059082031
581,116400,1205,49,-15.45858465830485
582,116600,1206,133,-16.961826006571453
583,116800,1208,44,-17.14337895711263
584,117000,1210,4,-18.265984789530435
585,117200,1211,152,-15.30035047531128
586,117400,1212,152,-10.237345695495605
587,117600,1213,152,-9.39544677734375
588,117800,1215,137,-19.99132687250773
589,118000,1216,141,-25.737978808085124
590,118200,1217,159,-26.554812939961753
591,118400,1220,55,-24.771240997314454
592,118600,1221,119,-27.179654121398926
593,118800,1222,119,-22.241087023417155
594,119000,1224,96,-27.725029945373535
595,119200,1225,147,-22.22300319671631
596,119400,1227,96,-33.653089396158855
597,119600,1229,27,-32.58144982655843
598,119800,1230,27,-33.20568567911784
599,120000,1232,31,-30.772339312235513
600,120200,1234,33,-24.328913180033364
601,120400,1235,33,-23.768285051981607
602,120600,1236,45,-26.341003036499025
603,120800,1237,45,-26.242868995666505
604,121000,1239,3,-25.639510027567546
605,121200,1240,9,-28.31582889556885
606,121400,1241,9,-28.667256800333657
607,121600,1244,2,-28.17470423380534
608,121800,1246,24,-32.624010276794436
609,122000,1247,30,-35.70754369099935
610,122200,1249,3,-35.00849838256836
611,122400,1250,54,-37.47121035257975
612,122600,1252,43,-38.892520904541016
613,122800,1253,69,-29.4015811920166
614,123000,1254,69,-17.012031491597494
615,123200,1257,105,-30.83457940419515
616,123400,1259,76,-36.23485336303711
617,123600,1260,165,-30.323785146077473
618,123800,1262,103,-20.94667148590088
619,124000,1264,10,-24.189137077331544
620,124200,1266,98,-22.280403900146485
621,124400,1268,14,-18.789964294433595
622,124600,1269,14,-8.307875216007233
623,124800,1270,144,-16.88809814453125
624,125000,1273,33,-25.20487200419108
625,125200,1274,33,-34.46225331624349
626,125400,1276,63,-25.020519320170084
627,125600,1277,200,-14.530926179885864
628,125800,1279,54,-12.093372376759847
629,126000,1280,186,-7.341978057225545
630,126200,1281,186,-20.075939210255942
631,126400,1283,51,-34.807183519999185
632,126600,1284,73,-19.222258186340333
633,126800,1286,50,-26.37572758992513
634,127000,1288,121,2.747338541348775
635,127200,1292,37,-15.566644477844239
636,127400,1293,74,-6.3527724583943685
637,127600,1294,130,-17.081430371602377
638,127800,1295,130,-20.781518681844076
639,128000,1297,49,-21.569681866963705
640,128200,1298,49,-14.83566525777181
641,128400,1299,129,-33.75614128112793
642,128600,1300,198,-6.41998732884725
643,128800,1303,92,-20.20268268585205
644,129000,1304,92,-23.39507624308268
645,129200,1305,92,-15.60761194229126
646,129400,1306,191,-15.310340023040771
647,129600,1307,191,-11.671736907958984
648,129800,1308,191,-14.397399361928304
649,130000,1309,191,-29.26262003580729
650,130200,1310,191,-29.71063849131266
651,130400,1311,191,0.571968600153923
652,130600,1313,144,-0.9411241412162781
653,130800,1316,9,-6.389648850758871
654,131000,1318,57,-6.14944117863973
655,131200,1319,195,-7.128252092997233
656,131400,1323,3,-12.556354808807374
657,131600,1324,154,-23.764986356099445
658,131800,1326,4,-26.076197878519693
659,132000,1328,112,-22.592192268371583
660,132200,1331,15,-22.492452112833657
661,132400,1332,106,-25.65529816945394
662,132600,1335,7,-24.875037256876627
663,132800,1338,52,-25.3231476465861
664,133000,1339,117,-24.57185853322347
665,133200,1340,117,-14.330151748657226
666,133400,1341,117,-10.725703001022339
667,133600,1344,19,-18.482638708750407
668,133800,1345,92,-23.427066612243653
669,134000,1346,92,-25.41181869506836
670,134200,1347,151,-27.389999707539875
671,134400,1349,10,-30.41314328511556
672,134600,1350,10,-33.22669455210368
673,134800,1351,10,-22.22385457356771
674,135000,1353,27,-31.91061274210612
675,135200,1355,87,-20.66570650736491
676,135400,1357,40,-20.074841245015463
677,135600,1359,23,-16.310410340627033
678,135800,1360,160,2.5551576455434164
679,136000,1362,81,-15.38051503499349
680,136200,1363,130,-15.055149714152018
681,136400,1365,112,-19.78804086049398
682,136600,1366,133,-21.439941914876304
683,136800,1371,1,-22.508865038553875
684,137000,1372,1,-21.349564361572266
685,137200,1373,140,-18.497761154174803
686,137400,1375,54,-18.700770759582518
687,137600,1376,159,-17.465185165405273
688,137800,1377,180,7.072370139757792
689,138000,1380,46,-12.518164189656575
690,138200,1382,16,-9.180344724655152
691,138400,1383,16,-11.96761646270752
692,138600,1386,9,-19.784184392293295
693,138800,1387,9,-16.92805954615275
694,139000,1388,9,-13.402649675806364
695,139200,1389,18,-25.844739850362142
696,139400,1391,53,-23.504741923014322
697,139600,1392,58,-22.629432678222656
698,139800,1394,7,-12.436114311218262
699,140000,1396,32,-9.928877830505371
700,140200,1397,32,-17.509323120117188
701,140400,1399,86,-18.098857879638672
702,140600,1400,86,-15.330037117004395
703,140800,1402,26,-23.181062698364258
704,141000,1403,99,-25.374814987182617
705,141200,1404,200,-23.41547203063965
706,141400,1407,12,-32.87991638183594
707,141600,1409,29,-26.728064219156902
708,141800,1410,132,20.114481353759764
709,142000,1412,61,17.61900666554769
710,142200,1415,7,38.74922777811686
711,142400,1416,7,21.01595338185628
712,142600,1417,10,26.437139129638673
713,142800,1418,103,-0.5264471292495727
714,143000,1422,12,-8.82693395614624
715,143200,1423,79,-11.961504936218262
716,143400,1425,60,-9.132558822631836
717,143600,1426,60,21.22924041748047
718,143800,1427,188,1.0069375038146973
719,144000,1428,188,25.282272974650066
720,144200,1430,78,-10.841170008977254
721,144400,1431,123,-13.844391187032064
722,144600,1433,69,-14.747366491953532
723,144800,1434,158,-7.646264870961507
724,145000,1436,51,-16.187974071502687
725,145200,1441,53,-16.2014422416687
726,145400,1444,33,-21.66885674794515
727,145600,1447,39,-21.38554401397705
728,145800,1452,20,-12.3240327835083
729,146000,1455,71,-13.387275568644206
730,146200,1460,16,-19.352322069803872
731,146400,1464,3,-24.856051381429037
732,146600,1469,15,-26.289963912963866
733,146800,1470,141,-14.142280594507854
734,147000,1471,141,-15.779095967610678
735,147200,1472,141,-14.676793988545736
736,147400,1473,141,-10.094085693359375
737,147600,1474,141,-6.907342910766602
738,147800,1476,131,2.696053981781006
739,148000,1477,131,6.180236959457398
740,148200,1479,42,2.236374616622925
741,148400,1480,148,-7.675208568572998
742,148600,1481,148,-10.74736213684082
743,148800,1482,150,-18.25166130065918
744,149000,1484,1,-16.576332092285156
745,149200,1485,27,-24.357349650065103
746,149400,1486,121,-11.25559687614441
747,149600,1487,121,8.893155908584594
748,149800,1488,121,12.20268440246582
749,150000,1490,37,13.164375654856364
750,150200,1491,37,19.439758237202962
751,150400,1492,190,12.486434777577719
752,150600,1496,5,-3.0602723757425943
753,150800,1497,5,-1.943731419245402
754,151000,1498,21,-19.58497492472331
