,Time Step,Episode,Step in Episode,Shield Loss
474,95000,1151,52,-38.463879648844404
475,95200,1152,54,-32.6561637878418
476,95400,1153,54,-30.65899066925049
477,95600,1155,57,-32.235921986897786
478,95800,1156,57,-26.246935399373374
479,96000,1157,167,-30.455135536193847
480,96200,1159,116,-34.62310969034831
481,96400,1161,93,-29.78759396870931
482,96600,1163,66,-21.002136929829916
483,96800,1164,66,-14.321257146199544
484,97000,1165,66,-9.73001152674357
485,97200,1167,7,-16.7225284576416
486,97400,1168,94,-15.175344212849934
487,97600,1169,186,-21.461180432637533
488,97800,1170,186,-23.907119623819987
489,98000,1172,148,-23.603671073913574
490,98200,1174,66,-22.31799996693929
491,98400,1176,113,-12.058017762502034
492,98600,1178,29,-15.396152146657307
493,98800,1179,29,-22.19223346710205
494,99000,1180,29,-9.647435315450032
495,99200,1181,64,-15.4832639058431
496,99400,1182,64,-18.87043228149414
497,99600,1183,93,-35.12187105814616
498,99800,1184,93,-47.34294637044271
499,100000,1187,51,-26.975160598754883
500,100200,1189,13,-37.53953170776367
501,100400,1192,3,-26.974303499857584
502,100600,1193,3,-27.110231781005858
503,100800,1194,3,-29.70435485839844
504,101000,1196,10,-24.527566719055176
505,101200,1197,76,-17.008534367879232
506,101400,1199,66,-13.744200865427652
507,101600,1200,66,-14.343750031789144
508,101800,1201,70,-23.42847226460775
509,102000,1202,70,-13.75234858194987
510,102200,1204,18,-19.356537946065266
511,102400,1206,19,-17.963558705647788
512,102600,1207,19,-10.143120535214742
513,102800,1209,46,-11.969579792022705
514,103000,1212,24,-16.814927037556966
515,103200,1214,5,-19.508152198791503
516,103400,1215,5,-20.957739130655924
517,103600,1216,5,-19.871573066711427
518,103800,1217,5,-20.65074240366618
519,104000,1218,83,-31.168703206380208
520,104200,1219,83,-27.04514961242676
521,104400,1220,123,-18.133687273661295
522,104600,1221,125,-11.449202251434325
523,104800,1225,81,-17.086376889546713
524,105000,1228,54,-15.266669654846192
525,105200,1229,54,-15.17631918589274
526,105400,1232,53,-13.475836976369221
527,105600,1233,111,-17.780951499938965
528,105800,1234,170,-20.16243699391683
529,106000,1237,88,-16.65128122965495
530,106200,1239,19,-19.56284974416097
531,106400,1240,154,-17.86532802581787
532,106600,1242,100,-21.44412466684977
533,106800,1243,100,-10.375536155700683
534,107000,1245,106,-11.919643974304199
535,107200,1247,72,-19.77308355967204
536,107400,1248,165,-24.870214398701986
537,107600,1250,134,-19.91523265838623
538,107800,1252,30,-19.60554485321045
539,108000,1253,121,-16.064201704661052
540,108200,1254,121,-19.596193472544353
541,108400,1255,121,-26.89564978281657
542,108600,1256,136,-25.506125322977702
543,108800,1258,35,-35.94561907450358
544,109000,1260,90,-28.990823173522948
545,109200,1263,40,-29.92447910308838
546,109400,1264,124,-31.29791177113851
547,109600,1267,37,-27.43179931640625
548,109800,1268,37,-24.424868488311766
549,110000,1269,189,-36.75982437133789
550,110200,1271,62,-31.80691738128662
551,110400,1273,22,-34.95039342244466
552,110600,1274,125,-38.564431508382164
553,110800,1276,62,-36.54815305074056
554,111000,1277,184,-34.501472345987956
555,111200,1279,5,-23.008612823486327
556,111400,1280,5,-6.229175166289012
557,111600,1281,88,0.07964050620794297
558,111800,1282,162,12.611476151148478
559,112000,1284,115,-9.833293171723684
560,112200,1285,115,-22.626672236124673
561,112400,1286,115,-21.758436902364096
562,112600,1289,7,-20.44760456085205
563,112800,1290,7,-8.942915550867717
564,113000,1292,56,-16.94324448903402
565,113200,1295,3,-15.877645746866863
566,113400,1296,3,-18.94129892985026
567,113600,1298,65,-23.130132802327473
568,113800,1299,87,-20.209861437479656
569,114000,1300,87,-24.17009925842285
570,114200,1301,87,-22.206895701090495
571,114400,1303,52,-21.2272211710612
572,114600,1304,163,-24.822407913208007
573,114800,1306,67,-29.053958638509116
574,115000,1307,176,-18.14115374883016
575,115200,1309,153,-24.434184646606447
576,115400,1311,115,-18.122608311971028
577,115600,1314,101,-20.55945218404134
578,115800,1315,122,-23.070552889506022
579,116000,1319,86,-26.687289746602378
580,116200,1320,86,-25.860526084899902
581,116400,1323,53,-26.487482833862305
582,116600,1326,63,-23.253645579020183
583,116800,1329,45,-17.773677571614584
584,117000,1331,29,-8.99537960688273
585,117200,1334,35,-5.815419642130534
586,117400,1336,12,-13.504008642832439
